commit_hash,category,topic,title,files_changed,pr_link,author,accepter_1,accepter_2,accepter_3,merge_into
9cab5987bde,skip,Untopiced,Introduce int_oo (#127693),test/dynamo/test_exc.py test/dynamo/test_export.py test/dynamo/test_misc.py test/export/test_export.py test/onnx/test_fx_to_onnx_with_onnxruntime.py test/test_dynamic_shapes.py test/test_proxy_tensor.py test/test_sympy_utils.py torch/_decomp/decompositions.py torch/_export/passes/add_runtime_assertions_for_constraints_pass.py torch/_export/serde/serialize.py torch/_inductor/graph.py torch/export/dynamic_shapes.py torch/fx/experimental/symbolic_shapes.py torch/fx/passes/runtime_assert.py torch/utils/_sympy/functions.py torch/utils/_sympy/interp.py torch/utils/_sympy/numbers.py torch/utils/_sympy/value_ranges.py,https://github.com/pytorch/pytorch/pull/127693,ezyang,lezcano,,,
55646554b7f,skip,not user facing,[EZ] Fix typos in SECURITY.md (#128340),SECURITY.md,https://github.com/pytorch/pytorch/pull/128340,malfet,atalman,clee2000,kit1980,
946f554c8fc,inductor,not user facing,Flip default value for mypy disallow_untyped_defs [10+1/11] (#128293),torch/_export/passes/constant_folding.py torch/_inductor/cpp_builder.py torch/_inductor/fx_passes/micro_pipeline_tp.py,https://github.com/pytorch/pytorch/pull/128293,aorenste,oulgen,,,
38e0a0440c2,Uncategorized,Untopiced,[AMD] Default to hipblaslt in gemm (#127944),aten/src/ATen/Context.h,https://github.com/pytorch/pytorch/pull/127944,xw285cornell,aaronenyeshi,houseroad,,
90bb510ece2,skip,Untopiced,"Revert ""Deprecate `torch._utils.is_compiling()` and `torch._dynamo.external_utils.is_compiling()` (#127690)""",test/test_optim.py torch/_dynamo/decorators.py torch/_dynamo/external_utils.py torch/_functorch/apis.py torch/_functorch/eager_transforms.py torch/_higher_order_ops/associative_scan.py torch/_utils.py torch/distributed/algorithms/ddp_comm_hooks/default_hooks.py torch/distributed/tensor/parallel/_utils.py torch/nn/parallel/distributed.py torch/optim/adadelta.py torch/optim/adam.py torch/optim/adamax.py torch/optim/adamw.py torch/optim/asgd.py torch/optim/nadam.py torch/optim/optimizer.py torch/optim/radam.py torch/optim/rmsprop.py torch/optim/rprop.py torch/optim/sgd.py torch/testing/_internal/optests/generate_tests.py,,,,,,
4460e481bca,skip,not user facing,Disable jacrev/jacfwd/hessian if compiling with dynamo (#128255),test/dynamo/test_higher_order_ops.py test/dynamo_expected_failures/TestComposabilityCPU.test_autograd_function_no_setup_context_transform_hessian_cpu test/dynamo_expected_failures/TestComposabilityCPU.test_autograd_function_no_setup_context_transform_jacfwd_cpu test/dynamo_expected_failures/TestHessianCPU.test_jacfwd_different_levels_cpu test/functorch/test_eager_transforms.py torch/_functorch/eager_transforms.py torch/testing/_internal/common_utils.py,https://github.com/pytorch/pytorch/pull/128255,guilhermeleobas,zou3519,,,
b459713ca75,quantization,not user facing,[aota] compiled forward outputs requires_grad alignment with eager (#128016),test/functorch/test_aotdispatch.py torch/_functorch/_aot_autograd/runtime_wrappers.py torch/_functorch/aot_autograd.py,https://github.com/pytorch/pytorch/pull/128016,IvanKobzarev,bdhirsh,,,
3a2d0755a43,nn_frontend,not user facing,enable test_ParameterList with dynamo if nn module inlining enabled only  (#128308),test/dynamo_expected_failures/TestNN.test_ParameterList test/test_nn.py,https://github.com/pytorch/pytorch/pull/128308,laithsakka,anijain2305,,,
6630dcd53c6,python_frontend,Untopiced,Add docstring for the torch.serialization.default_restore_location function (#128132),torch/serialization.py,https://github.com/pytorch/pytorch/pull/128132,afrittoli,mikaylagawarecki,,,
58083ffb106,composability,not user facing,Improve unbacked reasoning involving has internal overlap (#128332),test/test_dynamic_shapes.py torch/_meta_registrations.py torch/utils/_sympy/functions.py,https://github.com/pytorch/pytorch/pull/128332,ezyang,lezcano,,,
a2d4fea8726,nn_frontend,not user facing,[easy] Move state_dict hooks tests to test_module_hooks and decorate tests that call load_state_dict with swap (#126906),test/nn/test_load_state_dict.py test/nn/test_module_hooks.py test/test_nn.py,https://github.com/pytorch/pytorch/pull/126906,mikaylagawarecki,albanD,,,
c38b3381a12,nn_frontend,improvements,Make nn.Module state_dict load_state_dict pre-hook and state_dict post hook public (#126704),test/nn/test_load_state_dict.py test/nn/test_module_hooks.py torch/ao/quantization/fx/_lower_to_native_backend.py torch/distributed/algorithms/_checkpoint/checkpoint_wrapper.py torch/nn/modules/module.py,https://github.com/pytorch/pytorch/pull/126704,mikaylagawarecki,albanD,,,
583a56d5a8e,distributed,Untopiced,DOC: add docstring to construct_and_record_rdzv_event() (#128189),docs/source/elastic/events.rst torch/distributed/elastic/events/__init__.py,https://github.com/pytorch/pytorch/pull/128189,loganthomas,kurman,,,
2176ef7dfaf,skip,not user facing,[compiled autograd] support .backward(inputs=) (#128252),test/inductor/test_compiled_autograd.py test/test_autograd.py torch/csrc/dynamo/python_compiled_autograd.cpp,https://github.com/pytorch/pytorch/pull/128252,xmfan,jansel,,,
4bbadeee8af,skip,Untopiced,"Revert ""Set simdlen based on ATEN_CPU_CAPABILITY (#123514)""",test/inductor/test_cpu_repro.py test/inductor/test_extension_backend.py test/inductor/test_torchinductor.py torch/_dynamo/testing.py torch/_inductor/codecache.py torch/_inductor/codegen/cpp_prefix.h,,,,,,
a287ff75d07,skip,not user facing,Use init_torchbind_implementations in inductor torchbind tests. (#128341),test/inductor/test_torchbind.py,https://github.com/pytorch/pytorch/pull/128341,ydwu4,angelayi,,,
05711eece92,dynamo,Untopiced,[dynamo][inlining inbuilt modules] Ensure BC for nn_module_stack (#128295),test/dynamo/test_repros.py torch/_dynamo/variables/builder.py torch/_dynamo/variables/nn_module.py torch/_dynamo/variables/user_defined.py,https://github.com/pytorch/pytorch/pull/128295,anijain2305,ydwu4,,,
b2d602306a9,skip,not user facing,[RELAND][dynamo][nn-modules] Trace through nn.Module dunder methods for UnspecializedNNModule (#126578),test/distributed/test_dynamo_distributed.py test/dynamo/test_higher_order_ops.py test/dynamo_expected_failures/FakeTensorTest.test_embedding_bag_meta test/dynamo_expected_failures/TestCompileTransformsCPU.test_compile_vmap_hessian_cpu test/dynamo_expected_failures/TestEmbeddingNN.test_embedding_max_norm test/dynamo_expected_failures/TestEmbeddingNN.test_embedding_sparse_basic test/dynamo_expected_failures/TestEmbeddingNN.test_embedding_sparse_empty_tensor test/dynamo_expected_failures/TestEmbeddingNN.test_embeddingbag_include_last_offset test/dynamo_expected_failures/TestExperimentalUtils.test_profiler_pattern_matcher_json_report test/dynamo_expected_failures/TestJitGeneratedModule.test_nn_Bilinear test/dynamo_expected_failures/TestJitGeneratedModule.test_nn_Embedding test/dynamo_expected_failures/TestJitGeneratedModule.test_nn_EmbeddingBag_discontiguous test/dynamo_expected_failures/TestJitGeneratedModule.test_nn_EmbeddingBag_max test/dynamo_expected_failures/TestJitGeneratedModule.test_nn_EmbeddingBag_max_padding_idx test/dynamo_expected_failures/TestJitGeneratedModule.test_nn_EmbeddingBag_mean test/dynamo_expected_failures/TestJitGeneratedModule.test_nn_EmbeddingBag_mean_padding_idx test/dynamo_expected_failures/TestJitGeneratedModule.test_nn_EmbeddingBag_sparse test/dynamo_expected_failures/TestJitGeneratedModule.test_nn_EmbeddingBag_sum test/dynamo_expected_failures/TestJitGeneratedModule.test_nn_EmbeddingBag_sum_padding_idx test/dynamo_expected_failures/TestJitGeneratedModule.test_nn_Embedding_discontiguous test/dynamo_expected_failures/TestJitGeneratedModule.test_nn_Embedding_sparse test/dynamo_expected_failures/TestJitGeneratedModule.test_nn_Linear test/dynamo_expected_failures/TestJitGeneratedModule.test_nn_Linear_no_batch_dim test/dynamo_expected_failures/TestJitGeneratedModule.test_nn_PReLU_no_batch_dim test/dynamo_expected_failures/TestNN.test_ParameterDict test/dynamo_expected_failures/TestNN.test_Sequential_iadd test/dynamo_expected_failures/TestNN.test_bilinear_broadcasting test/dynamo_expected_failures/TestNN.test_layer_norm_grads_with_create_graph_flag test/dynamo_expected_failures/TestNN.test_linear_autograd_device_cpu_bias_weightCOO test/dynamo_expected_failures/TestNN.test_linear_autograd_device_cpu_bias_weightCSC test/dynamo_expected_failures/TestNN.test_linear_autograd_device_cpu_bias_weightCSR test/dynamo_expected_failures/TestNN.test_linear_broadcasting test/dynamo_expected_failures/TestNN.test_module_apply_inplace_op test/dynamo_expected_failures/TestNN.test_overwrite_module_params_on_conversion test/dynamo_expected_failures/TestNNParametrization.test_errors_unparametrized_tensor_parametrization_swap_False test/dynamo_expected_failures/TestNNParametrization.test_new_spectral_norm_forward_swap_True test/dynamo_expected_failures/TestNNParametrization.test_new_spectral_norm_swap_True test/dynamo_expected_failures/TestNNParametrizationDeviceCPU.test_weight_norm_parametrization_swap_False_cpu test/dynamo_expected_failures/TestNNParametrizationDeviceCPU.test_weight_norm_parametrization_swap_True_cpu test/dynamo_expected_failures/TestNestedTensorDeviceTypeCPU.test_embedding_jagged_cpu test/dynamo_expected_failures/TestPruningNN.test_identity_pruning test/dynamo_expected_failures/TestPruningNN.test_pruning_id_consistency test/dynamo_expected_failures/TestPruningNN.test_random_pruning_0perc test/profiler/test_profiler.py torch/_dynamo/create_parameter_op.py torch/_dynamo/mutation_guard.py torch/_dynamo/side_effects.py torch/_dynamo/symbolic_convert.py torch/_dynamo/utils.py torch/_dynamo/variables/dicts.py torch/_dynamo/variables/misc.py torch/_dynamo/variables/nn_module.py torch/_dynamo/variables/torch.py torch/_dynamo/variables/user_defined.py,https://github.com/pytorch/pytorch/pull/126578,anijain2305,jansel,,,
739aa224ec1,skip,not user facing,[Fix] Parameter un/lifting issues in the TorchScript to ExportedProgram converter (#127975),test/export/test_converter.py torch/_export/converter.py,https://github.com/pytorch/pytorch/pull/127975,jiashenC,angelayi,ydwu4,,
2126ae186e3,build_frontend,not user facing,Remove caffe2/perfkernels files (#128186),BUILD.bazel caffe2/perfkernels/adagrad.cc caffe2/perfkernels/adagrad.h caffe2/perfkernels/adagrad_avx2.cc caffe2/perfkernels/adagrad_avx512.cc caffe2/perfkernels/batch_box_cox.cc caffe2/perfkernels/batch_box_cox.h caffe2/perfkernels/batch_box_cox_avx2.cc caffe2/perfkernels/cvtsh_ss_bugfix.h caffe2/perfkernels/fused_8bit_rowwise_embedding_lookup.cc caffe2/perfkernels/fused_8bit_rowwise_embedding_lookup.h caffe2/perfkernels/fused_8bit_rowwise_embedding_lookup_idx.cc caffe2/perfkernels/fused_8bit_rowwise_embedding_lookup_idx.h caffe2/perfkernels/fused_nbit_rowwise_conversion.cc caffe2/perfkernels/fused_nbit_rowwise_conversion.h caffe2/perfkernels/lstm_unit_cpu-impl.h caffe2/perfkernels/lstm_unit_cpu.h caffe2/perfkernels/lstm_unit_cpu_avx2.cc caffe2/perfkernels/lstm_unit_cpu_common.cc caffe2/perfkernels/lstm_unit_cpu_common.h caffe2/perfkernels/math.h caffe2/perfkernels/math_cpu_avx2.cc caffe2/perfkernels/math_cpu_base.cc caffe2/perfkernels/typed_axpy.cc caffe2/perfkernels/typed_axpy.h caffe2/perfkernels/typed_axpy_avx.cc caffe2/perfkernels/typed_axpy_avx2.cc caffe2/perfkernels/vectorizer.h,https://github.com/pytorch/pytorch/pull/128186,cyyever,ezyang,r-barnes,,
30875953a4b,quantization,Untopiced,[1/N] Remove inclusion of c10/util/string_utils.h (#128300),aten/src/ATen/DLConvertor.cpp aten/src/ATen/TensorIterator.cpp aten/src/ATen/code_template.h aten/src/ATen/native/cuda/jit_utils.cpp aten/src/ATen/native/quantized/cpu/qconv.cpp aten/src/ATen/native/quantized/cpu/qembeddingbag_prepack.cpp torch/csrc/api/include/torch/nn/modules/container/modulelist.h torch/csrc/api/include/torch/nn/modules/container/parameterlist.h torch/csrc/api/include/torch/nn/modules/container/sequential.h torch/csrc/autograd/cpp_hook.cpp torch/csrc/autograd/custom_function.h torch/csrc/distributed/rpc/agent_utils.cpp torch/csrc/distributed/rpc/rref_context.cpp torch/csrc/distributed/rpc/tensorpipe_agent.cpp torch/csrc/distributed/rpc/utils.cpp torch/csrc/jit/api/function_impl.cpp torch/csrc/jit/codegen/fuser/codegen.cpp torch/csrc/jit/codegen/fuser/compiler.cpp torch/csrc/jit/frontend/function_schema_parser.cpp torch/csrc/jit/frontend/ir_emitter.cpp torch/csrc/jit/frontend/name_mangler.cpp torch/csrc/jit/frontend/schema_type_parser.cpp torch/csrc/jit/frontend/tree_views.h torch/csrc/jit/ir/ir.h torch/csrc/jit/mobile/compatibility/backport_manager.cpp torch/csrc/jit/mobile/train/export_data.cpp torch/csrc/jit/passes/fixup_trace_scope_blocks.cpp torch/csrc/jit/passes/hoist_conv_packed_params.cpp torch/csrc/jit/passes/onnx/peephole.cpp torch/csrc/jit/passes/prepack_folding.cpp torch/csrc/jit/passes/quantization/dedup_module_uses.cpp torch/csrc/jit/passes/quantization/insert_observers.cpp torch/csrc/jit/passes/quantization/insert_quant_dequant.cpp torch/csrc/jit/passes/quantization/register_packed_params.cpp torch/csrc/jit/passes/utils/subgraph_utils.cpp torch/csrc/jit/runtime/register_ops_utils.cpp torch/csrc/jit/runtime/register_ops_utils.h torch/csrc/jit/runtime/static/impl.cpp torch/csrc/jit/tensorexpr/block_codegen.cpp torch/csrc/jit/tensorexpr/eval.cpp torch/csrc/jit/tensorexpr/eval.h torch/csrc/jit/tensorexpr/ir.cpp torch/csrc/jit/tensorexpr/ir.h torch/csrc/jit/tensorexpr/kernel.cpp torch/csrc/jit/tensorexpr/loopnest.cpp torch/csrc/jit/tensorexpr/operators/misc.cpp torch/csrc/jit/tensorexpr/registerizer.cpp torch/csrc/jit/tensorexpr/unique_name_manager.cpp,https://github.com/pytorch/pytorch/pull/128300,cyyever,eqy,ezyang,,
f843ccbb1ab,skip,not user facing,[MTIA] Add set_device support (#128040),docs/source/mtia.rst torch/mtia/__init__.py,https://github.com/pytorch/pytorch/pull/128040,egienvalue,gnahzg,,,
99f5a85a095,jit,not user facing,[Clang Tidy] Fix misc-header-include-cycle errors in clang-tidy and ignore some files (#127233),.clang-tidy torch/csrc/jit/python/python_custom_class.cpp torch/csrc/jit/python/python_custom_class.h,https://github.com/pytorch/pytorch/pull/127233,cyyever,ezyang,,,
734e8f6ad7e,skip,not user facing,[inductor] enable fx graph cache on torchbench (#128239),benchmarks/dynamo/torchbench.py,https://github.com/pytorch/pytorch/pull/128239,masnesral,oulgen,,,
3b555ba4771,dataloader_frontend,Untopiced,Add docstring for torch.utils.data.datapipes.decoder.basicandlers (#128018),torch/utils/data/datapipes/utils/decoder.py,https://github.com/pytorch/pytorch/pull/128018,arunppsg,andrewkho,,,
841d87177a9,nn_frontend,not user facing,Make sure #126704 is BC for torch.save-ed `nn.Module` (#128344),torch/nn/modules/module.py,https://github.com/pytorch/pytorch/pull/128344,mikaylagawarecki,albanD,,,
d1d9bc7aa65,onnx,Untopiced,init add comment (#128083),torch/onnx/symbolic_opset9.py,https://github.com/pytorch/pytorch/pull/128083,ahoblitz,titaiwangms,,,
793df7b7cb1,skip,not user facing,Prevent expansion of cat indexing to avoid int64 intermediate (#127815),test/inductor/test_cuda_repro.py torch/_inductor/bounds.py torch/_inductor/codegen/common.py torch/_inductor/lowering.py torch/_inductor/utils.py torch/utils/_sympy/functions.py torch/utils/_sympy/interp.py torch/utils/_sympy/value_ranges.py,https://github.com/pytorch/pytorch/pull/127815,eellison,peterbell10,shunting314,,
e4bd0adca5a,quantization,Untopiced,[6/N] Remove unused functions (#128309),aten/src/ATen/native/SoftMax.cpp aten/src/ATen/native/TensorFactories.cpp aten/src/ATen/native/TensorProperties.cpp aten/src/ATen/native/TensorShape.cpp aten/src/ATen/native/mkldnn/Conv.cpp aten/src/ATen/native/quantized/cpu/ReduceOps.cpp aten/src/ATen/native/quantized/cpu/UpSampleBilinear2d.cpp aten/src/ATen/native/sparse/SparseTensorMath.cpp,https://github.com/pytorch/pytorch/pull/128309,cyyever,ezyang,,,
4077cdd589f,distributed,not user facing,[pipelining][doc] Update arg list of pipeline API (#128361),docs/source/distributed.pipelining.rst,https://github.com/pytorch/pytorch/pull/128361,kwen2501,wconstab,,,
665e568381e,inductor,not user facing,[inductor][inlining nn module] Skip batchnorm version check test for inlining (#128268),test/inductor/test_torchinductor.py,https://github.com/pytorch/pytorch/pull/128268,anijain2305,zou3519,,,
ca45649eb58,dynamo,not user facing,[easy][dynamo][inline work] Fix test with inlining inbuilt nn modules (#128254),test/dynamo/test_decorators.py,https://github.com/pytorch/pytorch/pull/128254,anijain2305,williamwen42,,,
7afffdf48b5,skip,not user facing,"[CI] Comment hf_T5_generate, hf_GPT2 and timm_efficientnet in inductor cpu smoketest for performance unstable issue (#127588)",benchmarks/dynamo/expected_ci_speedup_inductor_torchbench_cpu.csv,https://github.com/pytorch/pytorch/pull/127588,zxd1997066,chuanqi129,desertfire,jgong5,
16e67be7f1a,fx,not user facing,Also preserve unbacked SymInts when partitioning as backward inputs (#128338),test/inductor/test_torchinductor_dynamic_shapes.py torch/fx/experimental/symbolic_shapes.py,https://github.com/pytorch/pytorch/pull/128338,ezyang,IvanKobzarev,,,
cba195c8edd,skip,Untopiced,Support aten operations with out tensor (#124926),benchmarks/dynamo/ci_expected_accuracy/aot_inductor_torchbench_inference.csv benchmarks/dynamo/ci_expected_accuracy/cu124/aot_inductor_torchbench_inference.csv test/inductor/test_torchinductor.py torch/_inductor/compile_fx.py torch/export/_unlift.py,https://github.com/pytorch/pytorch/pull/124926,EikanWang,angelayi,jansel,jgong5,
fe39c07826b,distributed,not user facing,[pipelining][doc] Remove duplicated words (#128368),docs/source/distributed.pipelining.rst,https://github.com/pytorch/pytorch/pull/128368,kwen2501,wconstab,,,
fa88f390a04,skip,Untopiced,"Revert ""[inductor] enable fx graph cache on torchbench (#128239)""",benchmarks/dynamo/torchbench.py,,,,,,
5b5d269d341,fx,Untopiced,Speed up fx graph iteration by implementing it in C++ (#128288),build_variables.bzl torch/_C/__init__.pyi.in torch/csrc/Module.cpp torch/csrc/fx/node.cpp torch/csrc/fx/node.h torch/fx/graph.py torch/fx/node.py,https://github.com/pytorch/pytorch/pull/128288,oulgen,albanD,jansel,,
24e7f290993,inductor,Untopiced,Lowering for avg_pool_3d_backward (Fixes:#127101) (#127722),test/inductor/test_torchinductor.py test/inductor/test_torchinductor_codegen_dynamic_shapes.py torch/_inductor/lowering.py,https://github.com/pytorch/pytorch/pull/127722,Lourencom,jansel,,,
a32157c67c1,dynamo,Untopiced,Mark params static if inlining modules and freezing (#128355),torch/_dynamo/variables/builder.py,https://github.com/pytorch/pytorch/pull/128355,mlazos,anijain2305,,,
402b289f3b8,skip,not user facing,Properly register parameter for binary folding test (#128356),test/inductor/test_binary_folding.py,https://github.com/pytorch/pytorch/pull/128356,mlazos,anijain2305,,,
f2d7f235a68,skip,not user facing,[dynamo][yolov3] Track UnspecializedNNModuleVariable for mutation (#128269),benchmarks/dynamo/ci_expected_accuracy/aot_eager_torchbench_inference.csv benchmarks/dynamo/ci_expected_accuracy/aot_eager_torchbench_training.csv benchmarks/dynamo/ci_expected_accuracy/aot_inductor_torchbench_inference.csv benchmarks/dynamo/ci_expected_accuracy/cpu_inductor_torchbench_freezing_inference.csv benchmarks/dynamo/ci_expected_accuracy/cpu_inductor_torchbench_inference.csv benchmarks/dynamo/ci_expected_accuracy/cu124/aot_inductor_torchbench_inference.csv benchmarks/dynamo/ci_expected_accuracy/dynamic_aot_eager_torchbench_inference.csv benchmarks/dynamo/ci_expected_accuracy/dynamic_aot_eager_torchbench_training.csv benchmarks/dynamo/ci_expected_accuracy/dynamic_cpu_inductor_torchbench_inference.csv benchmarks/dynamo/ci_expected_accuracy/dynamic_inductor_torchbench_inference.csv benchmarks/dynamo/ci_expected_accuracy/dynamic_inductor_torchbench_training.csv benchmarks/dynamo/ci_expected_accuracy/dynamo_eager_torchbench_inference.csv benchmarks/dynamo/ci_expected_accuracy/dynamo_eager_torchbench_training.csv benchmarks/dynamo/ci_expected_accuracy/inductor_torchbench_inference.csv benchmarks/dynamo/ci_expected_accuracy/inductor_torchbench_training.csv torch/_dynamo/output_graph.py,https://github.com/pytorch/pytorch/pull/128269,anijain2305,jansel,,,
a206dcc79e0,inductor,Untopiced,fb_memcache: Move to fbcode from thirdparty (#128174),test/inductor/test_codecache.py test/inductor/test_max_autotune.py torch/_inductor/codecache.py torch/_inductor/compile_fx.py torch/_inductor/runtime/triton_heuristics.py,https://github.com/pytorch/pytorch/pull/128174,c00w,oulgen,,,
207c2248a88,inductor,bug fixes,[inductor] Fix lowering full with SymBool value (#128213),test/inductor/test_torchinductor.py test/inductor/test_torchinductor_codegen_dynamic_shapes.py torch/_inductor/lowering.py torch/_inductor/sizevars.py torch/_prims_common/__init__.py torch/utils/_sympy/value_ranges.py,https://github.com/pytorch/pytorch/pull/128213,peterbell10,lezcano,,,
648625b230e,skip,Untopiced,Make TraceUtils.h to be device-agnostic (#126969),torch/csrc/distributed/c10d/NCCLUtils.cpp torch/csrc/distributed/c10d/NCCLUtils.hpp torch/csrc/distributed/c10d/TraceUtils.h,https://github.com/pytorch/pytorch/pull/126969,FFFrog,c-p-i-o,,,
fc77fdca6f7,skip,not user facing,[guard_size_oblivious] Add gso ExpandUtils:_sym_to (#128224),aten/src/ATen/ExpandUtils.h,https://github.com/pytorch/pytorch/pull/128224,IvanKobzarev,ezyang,,,
55901fb3da5,skip,Untopiced,[fx] Preserve Fx graph node order in partitioner across runs (#115621),test/fx/test_partitioner_order.py torch/fx/passes/infra/partitioner.py,https://github.com/pytorch/pytorch/pull/115621,kareemshaik80,ezyang,,,
9a38cae299e,skip,not user facing,[AOTI] Switch to use shim v2 (#127674),torch/_inductor/config.py,https://github.com/pytorch/pytorch/pull/127674,hl475,desertfire,,,
053930e1942,mps,not user facing,[MPS][BE] Remove code duplication (#128373),aten/src/ATen/native/mps/operations/UnaryKernel.mm,https://github.com/pytorch/pytorch/pull/128373,malfet,Skylion007,,,
c13e03c8742,dataloader_frontend,not user facing,Flip default value for mypy disallow_untyped_defs [10+2/11] (#128374),torch/_C/return_types.pyi.in torch/distributed/_tensor/examples/display_sharding_example.py torch/nn/functional.pyi.in torch/utils/_sympy/numbers.py torch/utils/data/datapipes/datapipe.py torch/utils/data/datapipes/datapipe.pyi.in,https://github.com/pytorch/pytorch/pull/128374,aorenste,Skylion007,,,
f8c45996d51,mps,bug fixes,[MPS] Make erfinv compilable for bfloat16 (#128375),aten/src/ATen/native/mps/UnaryConstants.h,https://github.com/pytorch/pytorch/pull/128375,malfet,Skylion007,,,
29081059b65,jit,not user facing,[Static Runtime] Fix & run gen_static_runtime_ops (#128299),benchmarks/static_runtime/test_generated_ops.cc torch/csrc/jit/runtime/static/generated_ops.cpp torchgen/static_runtime/config.py torchgen/static_runtime/generator.py,https://github.com/pytorch/pytorch/pull/128299,davidberard98,YuqingJ,,,
a838e909644,skip,not user facing,Add Intel Gaudi device/HPU  to auto load in instantiate_device_type_tests (#126970),torch/testing/_internal/common_device_type.py torch/testing/_internal/common_utils.py,https://github.com/pytorch/pytorch/pull/126970,ankurneog,albanD,,,
4345d98663d,dynamo,not user facing,[dynamo] Fix for #127696 (#128358),torch/_dynamo/variables/higher_order_ops.py,https://github.com/pytorch/pytorch/pull/128358,angelayi,ydwu4,,,
491c4a5dcba,skip,Untopiced,"Revert ""Make sure #126704 is BC for torch.save-ed `nn.Module` (#128344)""",torch/nn/modules/module.py,,,,,,
